№,名称,郵便番号,住所,方書,電話番号,市町村区分,ロタリックス,ロタテック,ＨＩＢ,小児用肺炎球菌,Ｂ型肝炎,四種混合,MR,水痘,日本脳炎,二種混合,子宮頸がん,高齢者インフルエンザ,高齢者肺炎球菌,BCG,経度,緯度
2302,医療法人葵鐘会　パークベルクリニック,440-0877,愛知県豊橋市南松山町１５３,,0532-56-0020,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2303,あんどうキッズクリニック,466-0055,愛知県名古屋市昭和区滝子通３－１０－１,滝子メディカルステーション２Ｆ,052-693-7370,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2304,みずほキッズクリニック,467-0042,愛知県名古屋市瑞穂区八勝通２－１２－１,,052-833-8887,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2305,医療法人なかよしこどもクリニック,482-0012,愛知県岩倉市稲荷町高畑７５番地,,0587-66-1221,市外,○,○,○,○,○,○,○,○,○,○,○,○,,,,
2306,はやしこどもクリニック,485-0829,愛知県小牧市小牧原４－３４,,0568-41-0999,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2307,こやまかわせみクリニック,501-0458,岐阜県本巣郡北方町高屋字林浦道北１５６４,,058-201-7755,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2308,きっずクリニック小児科・アレルギー科・皮膚科,501-3944,岐阜県関市山田１３１９－１,,0575-28-6888,市外,○,○,○,○,○,○,○,○,○,○,○,○,,,,
2309,やまざきキッズクリニック,503-2125,岐阜県不破郡垂井町東神田２－３０,,0584-23-0577,市外,○,○,○,○,○,○,○,○,○,○,○,○,,,,
2310,医療法人社団のぞみ会横山クリニック,504-0011,岐阜県各務原市那加北洞町１－４１４－１,,058-371-1211,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2311,医療法人葵鐘会　アルプスベルクリニック,506-0058,岐阜県高山市山田町３１０,,0577-35-1777,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2312,医療法人葵鐘会　ローズベルクリニック,509-0203,岐阜県可児市下恵土野林２９７５－１,,0574-60-3355,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2313,医療法人たけのこ　きのここどもクリニック,514-1102,三重県津市久居藤が丘町２５９８－３,,059-254-0707,市外,○,○,○,○,○,○,○,○,○,○,○,○,,,,
2314,医療法人社団　花田小児科医院,516-0067,三重県伊勢市中島２－６－１３,,0596-28-5068,市外,○,○,○,○,○,○,○,○,○,○,,,,,,
2315,池田ファミリークリニック,517-0501,三重県志摩市阿児町鵜方７４８－５,,0599-43-0010,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2316,社会医療法人畿内会　介護老人保健施設　伊賀ゆめが丘,518-0131,三重県伊賀市ゆめが丘４－１－５,,0595-21-7322,市外,,,,,,,,,,,,○,,,,
2317,医療法人卓山医院,518-0631,三重県名張市桔梗が丘南１番町１街区１５番地の４,,0595-65-0001,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2318,医療法人グリーンスウォードみらいのこどもクリニック,518-0774,三重県名張市希央台４番町２番　４Ｆ,,0595-62-3888,市外,○,○,○,○,○,○,○,○,○,○,,○,,,,
2319,介護老人保健施設　第２おかなみ,518-0817,三重県伊賀市下友生字鳥ヶ峯２９１６,,0595-24-6300,市外,,,,,,,,,,,,○,,,,
2320,医療法人社団こんどう小児科,520-0025,滋賀県大津市皇子が丘３－１－１４,,077-527-9292,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2321,医療法人せせらぎ会　浮田クリニック,520-0242,滋賀県大津市本堅田６－３６－１,,077-574-3751,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2322,福）新旭みどり会特別養護老人ホームニューサンライズ,520-1511,滋賀県高島郡新旭町大字藁園２６０３,,0740-25-8288,市外,,,,,,,,,,,,○,,,,
2323,一般財団法人近江愛隣園,520-1605,滋賀県高島市今津町南新保８７－１,,0740-22-2238,市外,,,,,,,,,,,,○,○,,,
2324,おかだ小児科医院,520-1631,滋賀県高島市今津町名小路１－１－６,,0740-22-8071,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2325,医療法人社団うつのみや医院,520-3036,滋賀県栗東市十里１３６－２,,077-552-1888,市外,,○,○,○,○,○,○,○,○,○,○,○,○,,,
2326,医療法人藤野こどもクリニック,522-0042,滋賀県彦根市戸賀町３６－６,,0749-47-5311,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2327,市立長浜病院,526-8580,滋賀県長浜市大戌亥町３１３,,0749-68-2300,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2328,地方独立行政法人公立甲賀病院,528-0074,滋賀県甲賀市水口町松尾１２５６,,0748-62-0234,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2329,社会医療法人　純幸会　関西メディカル病院,560-0003,大阪府豊中市新千里西町１－１－７－２,,6836-1199,市外,○,○,○,○,○,○,○,○,○,○,,○,○,,,
2330,はしクリニック,560-0004,大阪府豊中市少路２－３－２２,ＪＭＬクリニックビル豊中２Ｆ,6842-3230,市外,,,,,,,,,,,,○,○,,,
2331,えつこ内科クリニック,560-0024,大阪府豊中市末広町１－６－２２,101,6858-1230,市外,,,,,,,○,○,,,,○,○,,,
2332,医療法人ありたき小児科,560-0082,大阪府豊中市新千里東町１－１－３,ＳＥＮＲＩＴＯよみうり３Ｆ,6833-0105,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2333,医療法人康生会　介護老人保健施設ケアホーム豊中,561-0807,大阪府豊中市原田中１－１６－２９,,6841-3668,市外,,,,,,,,,,,,○,○,,,
2334,医療法人豊潤会　彭医院,561-0834,大阪府豊中市庄内栄町４－７－１４,,6335-0161,市外,,,,,,,,,,,,○,○,,,
2335,医療法人猪瀬整形外科クリニック緑地公園メディカルクリニック,561-0872,大阪府豊中市寺内２－４－１,緑地駅ビル２Ｆ,6863-1841,市外,,,,,,,,,,,,○,○,,,
2336,あかりクリニック,561-0884,大阪府豊中市岡町北３－１－２２,,6852-1050,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2337,医療法人六然会　島こどもクリニック,562-0001,大阪府箕面市箕面６－４－４６,みのおメイト２０３号,072-720-0550,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2338,医療法人児成会　ハラノ医院,562-0005,大阪府箕面市新稲７－１４－１７,,072-724-2010,市外,○,,○,○,○,○,○,○,○,○,,,,,,
2339,社会福祉法人　三養福祉会　指定介護老人福祉施設　箕面の郷,562-0027,大阪府箕面市石丸１－１４－１,,072-749-2277,市外,,,,,,,,,,,,○,○,,,
2340,医療法人秋澤会　秋澤クリニック,563-0012,大阪府池田市東山町５４６番,,072-753-6010,市外,,,,,,,,,,,,○,○,,,
2341,医療法人しろくま会　すくすくこどもクリニック,563-0032,大阪府池田市石橋２－４－３,ＩＭＤビル２階,072-763-0707,市外,○,,○,○,○,○,○,○,○,○,○,,,,,
2342,医療法人秀徳会　まわたり内科,563-0105,大阪府豊能郡豊能町新光風台２－１６－１２,,072-733-3366,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2343,たかぎこどもクリニック,564-0011,大阪府吹田市岸部南１－１７－２６－２－２,,6381-8341,市外,○,○,○,○,○,○,○,○,○,○,○,○,,,,
2344,いなとみ赤ちゃんこどもクリニック,564-0018,大阪府吹田市岸部新町５－４５,ビエラ岸部健都２階,6338-3330,市外,○,○,○,○,○,○,○,○,○,○,,,,,,
2345,清水医院,564-0026,大阪府吹田市高浜町１０－２８,,6382-5134,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2346,一般社団法人春陽会　哲平診療所,564-0034,大阪府吹田市西御旅町７－５３,,564-0034,市外,,,,,,,,,,,,○,○,,,
2347,医療法人菊秀会　皐月病院,564-0036,大阪府吹田市寿町２－７－２４,,6319-1191,市外,,,,,,,,,,,,○,○,,,
2348,地方独立行政法人市立吹田市民病院,564-8567,大阪府吹田市岸部新町５－７,,6387-3311,市外,○,,○,○,○,○,○,○,○,○,○,○,,,,
2349,医療法人　こどもクリニック北,565-0862,大阪府吹田市津雲台１－１－４,リーザス南千里２Ｆ,6836-0896,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2350,医療法人路傍の森市森クリニック,565-0862,大阪府吹田市津雲台５－１７－４６,,6310-1234,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2351,大阪市立弘済院附属病院,565-0874,大阪府吹田市古江台６－２－１,,6871-8013,市外,,,,,,,,,,,,○,○,,,
2352,医療法人千里厚生会　千里丘中央病院,566-0001,大阪府摂津市千里丘１－１１－３１,,6388-0026,市外,,,,,,,,,,,,○,○,,,
2353,ことぶきクリニック,566-0011,大阪府摂津市千里丘東３－７－２７,ブランドール千里丘１０２号,072-622-8228,市外,,,,,,,,,,,,○,○,,,
2354,医療法人社団日翔会　日翔会病院,567-0888,大阪府茨木市駅前３－６－２３,,072-623-0234,市外,,,,,,,,,,,,○,○,,,
2355,社会福祉法人　しらゆり園　特別養護老人ホーム守口荘診療所,570-0005,大阪府守口市八雲中町３－１３－１７,,6906-0554,市外,,,,,,,,,,,,○,○,,,
2356,医療法人愛泉会　愛泉会病院,570-0005,大阪府守口市八雲中町２－４－２６,,6904-1313,市外,,,,,,,,,,,,○,○,,,
2357,医療法人健智会しみずファミリークリニック,570-0014,大阪府守口市藤田町５－８－５,,6914-4390,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2358,ふさおかこどもクリニック,570-0023,大阪府守口市日向町６－１３,,6911-1611,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2359,福島医院,570-0026,大阪府守口市松月町２－２０－１Ｆ,,6993-5050,市外,,,,,,,,,,,,○,○,,,
2360,医療法人小野山診療所,570-0028,大阪府守口市本町２－５－３２,,6991-0385,市外,,,,,,,,,○,,,○,○,,,
2361,医療法人清水会　鶴見緑地病院,570-0044,大阪府守口市南寺方南通３－４－８,,6997-0101,市外,,,,,,,,,,,,○,○,,,
2362,医療法人石田医院,570-0049,大阪府守口市金下町１－８－６,,06-6992-8814,市外,,,,,,,,,,,,○,○,,,
2363,医療法人きただクリニック,570-0055,大阪府守口市春日町３－４,,6997-5693,市外,,,,,,,,,,,,○,○,,,
2364,医療法人創健会　頼内科胃腸科,570-0065,大阪府守口市滝井元町１―８―７,,6991-6311,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2365,よしおかクリニック,570-0076,大阪府守口市滝井西町２－２－６,,4397-7230,市外,,,,,,,,,,,,○,○,,,
2366,吉岡医院,570-0094,大阪府守口市京阪北本通４－７,,6991-2859,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2367,松下記念病院,570-8540,大阪府守口市外島町５－５５,,6992-1231,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2368,医療法人七ふく会　ふくいクリニック,571-0027,大阪府門真市五月田町３８－１２,ナカニシビル,072-886-2022,市外,,,,,,,,,,,,○,○,,,
2369,内田クリニック,571-0030,大阪府門真市末広町７番８号,幸福ビル２Ｆ,06-6900-7877,市外,,,,,○,○,○,○,○,○,○,○,○,,,
2370,けいはん医療生活協同組合　みどり診療所,571-0072,大阪府門真市城垣町２－３３,,072-882-1118,市外,,,,,,,,,,,,○,○,,,
2371,うにし小児科,573-0032,大阪府枚方市岡東町３―７,,072-841-2579,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2372,医療法人山田誠クリニック,573-1116,大阪府枚方市船橋本町２－５２,ミラーズ・ファーム船橋１０１,072-864-0055,市外,,,,,,,,,,,,○,○,,,
2373,社会医療法人美杉会　佐藤病院,573-1124,大阪府枚方市養父東町６５―１,,072-864-1811,市外,,,,,,,,,,,,○,○,,,
2374,医療法人仁泉会　阪奈病院,574-0014,大阪府大東市寺川１－１－３１,,072-874-1111,市外,,,,,,,,,,,,○,○,,,
2375,医療法人仁泉会　仁泉会病院,574-0022,大阪府大東市諸福８－２－２２,,072-875-0100,市外,,,,,,,,,,,,○,○,,,
2376,医療法人和幸会　阪奈サナトリウム,575-0014,大阪府四條畷市上田原６１３番地,,0743-78-1188,市外,,,,,,,,,,,,○,○,,,
2377,徳野クリニック,577-0001,大阪府東大阪市徳庵本町３－４,,6744-0083,市外,,,,,,,○,○,○,,,○,○,,,
2378,医療法人小川内科,577-0001,大阪府東大阪市徳庵本町８－２０,,6746-1159,市外,,,,,,,,,,,,○,○,,,
2379,とくの耳鼻咽喉科,577-0001,大阪府東大阪市徳庵本町７－１６,,6748-0960,市外,,,,,,,,,,,,○,,,,
2380,医療法人　妻鹿整形外科,577-0004,大阪府東大阪市稲田新町２－３０ー１３,,6745-4143,市外,,,,,,,,,,,,○,○,,,
2381,医療生協かわち野生活協同組合楠根診療所,577-0006,大阪府東大阪市楠根２－７－８,,6746-1313,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2382,まつばらこどもアレルギークリニック,577-0007,大阪府東大阪市稲田本町２－９－１８,,6743-7866,市外,○,○,○,○,○,○,○,○,○,○,○,○,,,,
2383,医療法人再生会　そばじまクリニック,577-0011,大阪府東大阪市荒本北２－２－６,クリニックコート東野,4309-2525,市外,,,,,,,,,,,,○,,,,
2384,医療法人仁修会　城野内科医院,577-0013,大阪府東大阪市長田中１－１－５,,6618-0567,市外,,,,,,,,,,,,○,○,,,
2385,しあわせこどもクリニック,577-0034,大阪府東大阪市御厨南２－１－１,４階,6736-5472,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2386,もしもしキッズクリニック,577-0037,大阪府東大阪市御厨西ノ町１－５－１４,,6618-7111,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2387,ちかの耳鼻咽喉科,577-0056,大阪府東大阪市長堂１－１３－７,,6781-1187,市外,,,,,,,,,,,,○,,,,
2388,水岡医院,577-0061,大阪府東大阪市森河内西１－１７－７,,6783-3578,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2389,たに内科クリニック,577-0066,大阪府東大阪市高井田本通１－５－３１,,6618-5050,市外,,,,,,,,,,○,○,○,○,,,
2390,社会福祉法人天心会　特別養護老人ホーム　ヴェルディ八戸ノ里,577-0803,大阪府東大阪市下小阪４－７－３６,,6727-0030,市外,,,,,,,,,,,,○,○,,,
2391,竹村小児科,577-0807,大阪府東大阪市菱屋西３－４－１７,,6725-4130,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2392,医療法人酒井医院,577-0807,大阪府東大阪市菱屋西２－７－１６,,6729-7715,市外,,,,,,,,,,,,○,○,,,
2393,医療法人　康生会　弥刀介護老人保健施設,577-0816,大阪府東大阪市友井３－３－３７,,6721-1214,市外,,,,,,,,,,,,○,○,,,
2394,医療法人旭友会　池田診療所,577-0826,大阪府東大阪市大蓮北２－５－１,,6728-7548,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2395,医療法人五月会おかクリニック,577-0827,大阪府東大阪市衣摺５－１９－３７－１０１,,4308-5333,市外,,,,,,,,,,,,○,,,,
2396,医療生協かわち野生活協同組合　東大阪生協病院,577-0832,大阪府東大阪市長瀬町１－７－７,,6727-3131,市外,○,,○,○,○,○,○,○,○,○,,○,○,,,
2397,ゆうあいクリニック,577-0841,大阪府東大阪市足代２－３－６,橋本ビル１階,4307-6012,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2398,原クリニック,577-0842,大阪府東大阪市足代南１－２－８,岡島ラインハウス１Ｆ,6726-2671,市外,,,,,,,,,,,,○,○,,,
2399,かわぐち呼吸器内科クリニック,577-0843,大阪府東大阪市荒川１－４－２３,,6730-8259,市外,,,,,,,,,,,,○,○,,,
2400,医療法人あい内科クリニック,578-0931,大阪府東大阪市花園東町２－６－３５,,072-943-1206,市外,,,,,,,,,,,,○,○,,,
2401,医療法人越宗会　介護老人保健施設玉串すみれ苑,578-0934,大阪府東大阪市玉串町西３－２－３,,072-966-2000,市外,,,,,,,,,,,,,○,,,
2402,かじもと内科在宅クリニック,578-0966,大阪府東大阪市三島１－２２－２３,102,6753-8575,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2403,医療法人未来会　みらいクリニック,578-0971,大阪府東大阪市鴻池本町２－２８,,6936-1003,市外,,,,,,,,,,,,○,○,,,
2404,医療法人朋愛会　介護老人保健施設ベルフラワー,578-0973,大阪府東大阪市東鴻池町２－３－２２,,072-967-1122,市外,,,,,,,,,,,,,○,,,
2405,医療法人川上クリニック,578-0981,大阪府東大阪市島之内２－１３－１４－１Ａ,,072-940-6200,市外,○,,○,○,○,○,○,○,○,○,,○,○,,,
2406,医療法人青廉会　藤戸小児科,579-8003,大阪府東大阪市日下町３－２－３５,,072-985-1218,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2407,森外科・内科クリニック,579-8014,大阪府東大阪市中石切町２－４－２９,,072-984-0777,市外,,,,,,,,,,,,○,○,,,
2408,医療法人小川クリニック,579-8051,大阪府東大阪市瓢箪山町４－１８,,072-985-3030,市外,○,,○,○,○,○,○,○,○,○,,,,,,
2409,社会福祉法人ほほえみ福祉会　介護老人保健施設五十忠,579-8057,大阪府東大阪市御幸町３－３４,,072-980-6700,市外,,,,,,,,,,,,○,○,,,
2410,ひろわたり診療所,580-0021,大阪府松原市高見の里１－２－３０,ふぁみーゆ松原中央１Ｆ１０１号室,072-333-2202,市外,,,,,,,,,,,,○,○,,,
2411,社会福祉法人聖徳会　クリニックいわた,580-0043,大阪府松原市阿保３－４－３１,,072-337-8821,市外,,,,,,,,,,,,○,○,,,
2412,あかねクリニック,581-0001,大阪府八尾市末広町５－３－１４,,072-927-9121,市外,,,,,,,,,,,,○,○,,,
2413,医療法人木村小児科,581-0004,大阪府八尾市東本町２－６－７,,072-999-5666,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2414,医療法人清征会　しんせいクリニック,581-0025,大阪府八尾市天王寺屋三丁目１１２番地,,072-948-5266,市外,,,,,,,,,,,,○,○,,,
2415,医療法人久保医院,581-0037,大阪府八尾市太田５－１８２－３,,072-948-2887,市外,,,,,,,,,,,,○,○,,,
2416,あさい脳神経内科・在宅クリニック,581-0038,大阪府八尾市若林町１－７６－３,ステーションプラザ八尾南Ｂ１Ｆ－Ａ,072-943-4623,市外,,,,,,,○,,,,,○,○,,,
2417,おおまえ内科クリニック,581-0042,大阪府八尾市南木の本３－４５－５,,072-996-1171,市外,○,,○,○,○,○,○,○,○,○,,○,○,,,
2418,やお城田クリニック,581-0044,大阪府八尾市木の本１－７－１,,072-922-7770,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2419,医療法人厚生医学会　厚生会第一病院,581-0045,大阪府八尾市西木の本１－６３,,072-992-7055,市外,,,,,,,,,,,,○,○,,,
2420,医療法人　いずい医院,581-0051,大阪府八尾市竹渕西３－８０,,6701-5511,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2421,医療法人健医会　松井医院,581-0063,大阪府八尾市太子堂５－１－３８,,072-995-0880,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2422,医療法人藤井内科小児科,581-0072,大阪府八尾市久宝寺１－１－８,,072-993-8881,市外,,,,,,,,,,,,○,○,,,
2423,医療法人元村内科クリニック,581-0072,大阪府八尾市久宝寺３－１５－３４,２Ｆ,072-922-0150,市外,,,,,,,,,,,,○,○,,,
2424,医療法人あおい会　あおいクリニック,581-0073,大阪府八尾市高町２－４３,,072-999-1616,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2425,医療法人松樹会　松本クリニック,581-0081,大阪府八尾市南本町４－１－１１,,072-970-6421,市外,,,,,,,,,,,,○,○,,,
2426,しもやま小児科,581-0085,大阪府八尾市安中町３－５－１４,ＪＲ八尾クリニックビル３Ｆ,072-928-1802,市外,○,○,○,○,○,○,○,○,○,○,,,,,,
2427,医療法人貴医会　貴島中央病院,581-0088,大阪府八尾市松山町１－４－１１,,072-922-1581,市外,,,,,,,,,,,,○,○,,,
2428,医療法人永光会　新井クリニック,581-0818,大阪府八尾市美園町４－１０９－３,,072-998-2669,市外,,,,,,,,,,,,○,○,,,
2429,医療法人　山田医院,581-0867,大阪府八尾市山本町４－１－１４,,072-998-5776,市外,,,○,○,○,○,○,○,○,○,,○,○,,,
2430,小川内科・糖尿病内科クリニック,581-0869,大阪府八尾市桜ケ丘１－１０－２,桜ケ丘クリニックビル３階,072-992-1024,市外,,,,,,,,,,,,○,○,,,
2431,特別養護老人ホームはくとう診療所,582-0014,大阪府柏原市大字青谷２１０４－１,,072-979-0260,市外,,,,,,,,,,,,○,○,,,
2432,医療法人　千輝会　神田医院,582-0025,大阪府柏原市国分西１－１－１７,幸喜ビル２０１号,072-977-8117,市外,,,,,,,,,,,,○,○,,,
2433,医療法人敬任会　藤井寺敬任会クリニック分院,583-0007,大阪府藤井寺市林２－６－２１,,072-936-3370,市外,,,,,,,,,,,,○,○,,,
2434,医療法人青山会　青山こどもクリニック,583-0014,大阪府藤井寺市野中４－１６－３２,,072-937-0100,市外,○,,○,○,○,○,○,○,○,○,,,,,,
2435,医療法人浩清会ナワタクリニック,583-0017,大阪府藤井寺市藤ヶ丘２－１０－１３,藤ヶ丘メディカルビル１階,072-953-0666,市外,,,,,,,,,,,,○,○,,,
2436,しみずこどもの丘クリニック,583-0864,大阪府羽曳野市羽曳が丘４－２－４,,072-957-3194,市外,○,○,○,○,○,○,○,○,○,○,○,○,,,,
2437,医療法人ふじおか小児科,584-0074,大阪府富田林市久野喜台２－１５－２６,,0721-28-8671,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2438,医療法人博我会　滝谷病院,586-0006,大阪府河内長野市松ヶ丘中町１４５３,,0721-53-5002,市外,,,,,,,○,,,,,○,○,,,
2439,あらたホームクリニック三国ヶ丘,590-0024,大阪府堺市堺区向陵中町４－３－１０－３１５,,072-242-7998,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2440,医療法人なぎさ会　第五なぎさクリニック,590-0523,大阪府泉南市信達岡中９３６番地の１,,072-447-5888,市外,○,○,○,○,○,○,○,○,○,○,,○,○,,,
2441,社会医療法人同仁会　みみはら高砂クリニック,590-0820,大阪府堺市堺区高砂町４－１０９－２,,072-241-4990,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2442,社会医療法人清恵会　清恵会三宝病院,590-0903,大阪府堺市堺区松屋町１－４－１,,072-226-8131,市外,,,,,,,,,,,,○,○,,,
2443,整形外科ひろクリニック,591-8002,大阪府堺市北区北花田町２－４－１,コプリー１Ｆ,072-250-5551,市外,,,,,,,,,,,○,○,○,,,
2444,医療法人田中会田中病院,591-8007,大阪府堺市北区奥本町１－２１６,,072-251-0005,市外,,,,,,,,,,,,○,○,,,
2445,医療法人若葉会　堺若葉会病院,591-8021,大阪府堺市北区新金岡町４－１－７,,072-255-1001,市外,,,,,,,,,,,,○,○,,,
2446,医療法人社団　ワッフル　ぐんぐんキッズクリニック,591-8023,大阪府堺市北区中百舌鳥町２－２１,大休ビル１Ｆ,072-275-8502,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2447,医療法人向翔会　だんホームクリニック,591-8025,大阪府堺市北区長曽根町１２０７－７,,072-246-6611,市外,,,,,,,,,,,,○,○,,,
2448,医療法人六支会　つなぐ在宅内科クリニック,591-8037,大阪府堺市北区百舌鳥赤畑町３－２０４－３,,072-251-7548,市外,,,,,,,,,,,,○,○,,,
2449,独立行政法人国立病院機構　近畿中央呼吸器センター,591-8555,大阪府堺市北区長曽根町１１８０,,072-252-3021,市外,,,,,,,,,,,,○,○,,,
2450,医療法人博我会　高石病院,592-0004,大阪府高石市高師浜３－３－３１,,072-262-7700,市外,,,,,○,,,,,,,○,○,,,
2451,医療法人俊仁会　きららファミリークリニック,593-8311,大阪府堺市西区上４６７,,072-274-1401,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2452,おしうみ内科,593-8312,大阪府堺市西区草部７－５,ティンバーマンション久保田１Ｆ,072-273-6610,市外,,,,,,,,,,,,○,○,,,
2453,中村クリニック,593-8327,大阪府堺市西区鳳中町３－６１－４,,072-269-5551,市外,,,,,,,,,,,,○,○,,,
2454,医療法人吉川会　吉川病院,595-0061,大阪府泉大津市春日町２－１０,,0725-32-3666,市外,,,○,○,○,○,○,○,○,○,○,○,○,,,
2455,田村医院,597-0011,大阪府貝塚市北町２１番２３号,,072-422-0289,市外,,,,,,,,,,,,○,○,,,
2456,川崎こどもクリニック,597-0102,大阪府貝塚市木積６５６－７,,072-421-2033,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2457,社会医療法人頌徳会　日野病院,599-8123,大阪府堺市東区北野田６２６番地,,072-235-0090,市外,,,,,,,○,○,,,,○,○,,,
2458,医療法人森田医院,599-8126,大阪府堺市東区大美野１５９番地２２,,072-237-0071,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2459,佐藤小児科,599-8261,大阪府堺市中区堀上町１２３番地,サンヴレッジ１階,072-281-0215,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2460,医療法人桃祥会　井上医院,599-8266,大阪府堺市中区毛穴町２７９－３,,072-246-9526,市外,,,,,,,,,,,,○,○,,,
2461,こたけ小児科,607-8085,京都府京都市山科区竹鼻堂ノ前町４６－１,大樹生命京都山科ビル３階,075-593-5133,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2462,医療法人弥生会　上田診療所,611-0013,京都府宇治市菟道平町１７番地,,0774-22-7586,市外,○,,○,○,○,○,○,○,○,○,○,○,○,,,
2463,医療法人社団一心会　都倉病院,611-0021,京都府宇治市宇治山本２７,,0774-22-4521,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2464,老人保健施設第２アールそせい,612-8248,京都府京都市伏見区下鳥羽上三栖町１１―１,,075-603-0851,市外,,,,,,,,,,,,○,,,,
2465,医療法人おくだこどもクリニック,612-8436,京都府京都市伏見区深草新門丈町１５５－１,,075-646-2670,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2466,医療法人やすだこどもクリニック,614-8297,京都府八幡市欽明台西１５－６,,075-971-1102,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2467,社会医療法人美杉会　男山病院,614-8366,京都府八幡市男山泉１９番地,,075-983-0001,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2468,医療法人上嶋小児科アレルギー科医院,616-8221,京都府京都市右京区常盤村ノ内町１番地２,,075-871-6122,市外,,○,○,○,○,○,○,○,○,○,○,○,,,,
2469,福）京都南山城会特別養護老人ホーム山城ぬくもりの里,619-0204,京都府相楽郡山城町大字上狛小字天竺堂１番地１,,0774-86-5460,市外,,,,,,,,,,,,○,,,,
2470,綾部市立病院,623-0011,京都府綾部市青野町大塚２０－１,,0773-43-0123,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2471,大西医院,625-0036,京都府舞鶴市字浜１８１,,0773-62-0116,市外,,,○,○,○,○,○,○,○,○,○,○,○,,,
2472,介護老人保健施設グランファミリア,630-0201,奈良県生駒市小明町１１３０―１１１,,0743-75-0013,市外,,,,,,,,,,,,○,,,,
2473,社会福祉法人恩賜財団済生会奈良病院,630-8145,奈良県奈良市八条４－６４３,,0742-36-1881,市外,,,,,,,,,,,,○,,,,
2474,森井小児科医院,630-8332,奈良県奈良市元興寺町３２,,0742-24-3161,市外,○,○,○,○,○,○,○,○,○,○,○,,,,,
2475,しだ小児科クリニック,631-0003,奈良県奈良市中登美ケ丘３－１,,0742-81-8739,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
2476,すくすくこどもクリニック,631-0842,奈良県奈良市菅原町６４８－１,,0742-40-3939,市外,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
