医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
社会福祉法人四天王寺福祉事業団　四天王寺病院,大阪市天王寺区大道1-4-41,,,1,,,,,,1,,16歳,135.5144756,34.65327051,http://www.shitennoji-fukushi.jp/shitennoji-hospital/,,1,,,
にしきおりクリニック,大阪市西成区鶴見橋1-4-32,06-6641-3387,1,1,,,,予約は来院またはLINEで受付,1,1,1,12歳,135.496102,34.64608951,https://n-clinic.info/,,1,,,
医療法人一心会　ながてクリニック,大阪市西成区岸里1-1-4,06-6658-0800,,1,1,①月・火・水・金 ②木・土,①9:00～12:00 15:00～18:00 ②9:00～12:00,,,1,1,12歳,135.4969299,34.63718075,,,1,,03予約可能,
むつみクリニック,大阪市住之江区西加賀屋3-12-16,070-8486-1261,,1,1,,,,1,1,1,,135.4760687,34.61753778,https://mutsumi-cl.jp/,,1,1,03予約可能,03予約可能
医療法人博慈会　中川クリニック,大阪市旭区清水2-11-1,06-6951-5718,,,1,①月～金 ②土,①9:00～12:00 18:00～20:00 ②9:00～12:00,,1,,1,12歳,135.559914,34.7213911,https://hakuji.or.jp/about/,,1,,03予約可能,
医療法人植田会　あさひ診療所,大阪市西成区旭1-11-10,,,1,,月・火・金,9:00～11:30,,1,1,,16歳,135.4934502,34.64373473,,,1,,,
めぐみ内科小児科クリニック,大阪市旭区千林2-14-24,06-6955-3557,,1,,,9:00～12:30 15:00～17:00,,,1,,12歳,135.5538247,34.72478678,https://megumi-cl.net/,,1,,,
公益財団法人淀川勤労者厚生協会付属　西淀病院,大阪市西淀川区野里3-5-22,,1,,,,,受付はWebのみ　HP：http://nishiyodo.org/　一般受入は2月から,1,,,16歳,135.4594351,34.71130865,,1月は医療従事者の3回目のみ受付,1,,03予約可能,
CSクリニック,大阪市西区京町堀1-8-5　明星ビル1階,06-6448-3653,,,1,,,予約は電話のみ,1,,,,135.4967348,34.68689802,https://www.cs-clinic.com/,,1,,01予約不可能,
堂島内科・消化器内科クリニック,大阪市北区堂島2-4-27　新藤田ビルB1階,06-6343-1000,,,1,月～金,10:00～16:00,,1,1,,16歳,135.4930867,34.69621603,https://www.dojima-gi-clinic.jp/,,1,,,
医療法人社団真希会　チョウクリニック,大阪市住吉区長居東三丁目15番14号,06-6608-7820,,1,1,月・火・水・金,11:00～12:30 16:00～18:30,,1,1,,12歳,135.513768,34.60519585,https://www.agnus.jp/clinic/,,1,,,
大正すずらんクリニック,大阪市大正区三軒家東4丁目5番12号R＆Kビル3階,06-6556-1800,,1,,,,,,1,,12歳,135.4768061,34.66208009,http://www.taisho-clinic.com/,,1,,,
医療法人夢生会　ＹＭメトロクリニック,大阪市中央区宗右衛門町2番13号メトロポリタンビル1階,06-6484-0095,1,,1,,,LINE予約,1,1,,,135.5048157,34.66942691,https://metro-c.or.jp/,,1,,,
医療法人一山十会　スカイナイトクリニック,大阪市北区大淀中一丁目1番88号　梅田スカイビルタワーイースト7階,,1,,,,,,1,,1,12歳,135.4906514,34.70501528,https://skyknightclinic.com/,,1,1,03予約可能,
よどがわ内科クリニック,大阪市淀川区十三東2丁目9番10号十三駅前医療ビル2階,,1,,,,9:30～13:00 14:00～18:00,,1,1,,16歳,135.4832844,34.72025572,https://yodogawa-cl.com/,,1,,,
医療法人一山十会　クリニーク大阪心斎橋,大阪市中央区南船場三丁目12番3号心斎橋セントビル5階,,1,,,,,,1,,1,12歳,135.5013399,34.6756657,https://clinique-osaka-shinsaibashi.com/,,1,1,03予約可能,
北浜よしおか内科クリニック,大阪市中央区高麗橋一丁目7番3号ザ・北浜プラザ3階,06-6202-3330,,,1,,,,,1,1,12歳,135.5072838,34.689427,http://www.yoshioka-cl.com/,,1,,03予約可能,
医療法人誠信会　三和クリニック,大阪市東住吉区照ケ丘矢田一丁目17番7号,06-6777-8802,,,1,毎日,9:00～17:00,,1,1,1,12歳,135.535655,34.60794735,,,1,,,
医療法人桜済会　寺田町クリニック,大阪市天王寺区大道4丁目10番15号NKM-1ビル2階,06-6773-3001,,,1,月・火・木・金,12:30～13:00,,,1,1,16歳,135.523644,34.64825378,https://www.teradacholadies.com/about,,1,,,
医療法人眞鳳会　福効医院,大阪市北区天神橋6丁目3-16朝日生命天六ビル3階,,,1,,,,詳細は当院HP参照,1,1,1,12歳,135.5120977,34.71039572,https://fukukou.jp/,現在、1/21の予約を受け付けております,1,,02若干空き有り,
北新地さくらクリニック,大阪市北区梅田一丁目2番2-200号大阪駅前第2ビル2階,06-6341-6241,,,1,月・火・木,10:00～12:00,,1,1,1,16歳,135.4984985,34.69890185,http://osaci.me/,1/29(土)・2/5(土)のみ,1,,03予約可能,
医療法人福愛会　いんべクリニック,大阪市北区大淀中一丁目1番88号　梅田スカイビルタワーイースト7階,,1,,,,,,1,1,1,12歳,135.4909514,34.70501528,https://imbeclinic.jp/,WEB予約のみ,1,,03予約可能,
医療法人嘉誠会　新井クリニック,大阪市平野区喜連西3丁目13番24号,06-6769-0555,,1,1,月、水・木・金,13:30～16:30,来院予約受付時間も問合せ時間同様,,1,1,12歳,135.5431831,34.61236844,http://kaseikai.or.jp/kaseikai/facility27,,1,,01予約不可能,
医療法人白永会　コスモメディカルクリニック,大阪市中央区南久宝寺町二丁目1番9号船場メディカルビル8階,06-6271-8801,1,,1,,,WEB利用が困難な高齢者の方のみ電話予約可,1,1,1,12歳,135.5060748,34.67924472,https://cosmo-clinic.net/,,1,,03予約可能,
はしもとクリニック,大阪市中央区島町1-1-3　愛生ビル3階,06-6947-7585,,,1,,,,1,,1,12歳,135.5165303,34.68872482,,,1,,,
りゅう耳鼻咽喉科クリニック,大阪市東成区東小橋1-9-19JR玉造駅NKビル5階,06-6977-8133,,,1,①月～金 ②土,①9:00～12:20　15:30～18:50 ②9:00～12:50,,1,1,1,12歳,135.5338837,34.67360348,http://ryu-ent.com/,,1,,,
医療法人飛心会　なんばくろとびハートクリニック,大阪市中央区難波4-7-14　難波フロントビル10階,06-6634-7810,,,1,月・火・金,11:30～12:30,,,1,,,135.4986756,34.66693195,https://www.kurotobi-clinic.com/,,1,,,
岩田クリニック,大阪市平野区背戸口2-12-25,06-4305-7458,,,1,,11:00～11:30 18:00～18:30,かかりつけのみ,,1,1,12歳,135.5441577,34.62337767,https://iwata-clinic-hirano.com/,,1,,,
医療法人AWNC　きし脳神経外科リハビリクリニック,大阪市福島区吉野3-22-17,06-6476-8988,,,1,,,,1,1,1,12歳,135.4746331,34.692602,https://k-nrc.com/,,1,,03予約可能,
医療法人朋詠会　たむらクリニック,大阪市北区天神橋8-9-10,06-6242-0140,1,1,1,,,,1,,,12歳,135.5117835,34.71684923,https://www.tamura-cl.net/,,1,,,
髙橋クリニック,大阪市平野区流町3-12-25,06-6709-5668,,1,1,月・火・水・金,9:00～12:00 17:00～19:00,,1,,1,12歳,135.5539623,34.62030212,http://www.takahashitoyoclinic.com/,,1,,,
医療法人延寿会　協和医院,大阪市東淀川区上新庄2-15-18,06-6326-0700,,1,,①月・火・木・金 ②水・土,①9:00～12:30 16:00～19:30 ②9:00～12:30,電話予約受付不可,1,1,1,16歳,135.5302995,34.74931273,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=46,,1,,,
医療法人くすの木会　かたやまクリニック,大阪市鶴見区今津南1-5-39　鶴見グリーンレジデンス1階,06-6965-2131,,1,1,①月・水・金 ②火・木・土,①9:00～12:00 16:30～18:30 ②9:00～12:00,,1,1,1,12歳,135.5662414,34.68864115,http://katayamaclinic.com/,,1,,,
内科クリニック大西循環器科消化器科,大阪市此花区四貫島1-5-11セントビル3階,06-6464-9330,,,1,①月・火・金 ②水・木・土,①9:00～12:30 16:00～19:00 ②9:00～12:30,,1,1,1,,135.4570063,34.68508155,https://www.oc-clinic.com/,,1,,,
にしもと耳鼻咽喉科,大阪市大正区泉尾3-11-15,,,1,,,診療時間内,,,1,,,135.4723333,34.65793063,http://nishimotojibika.jp/,,1,,,
山口泌尿器科,大阪市中央区上汐2-1-16　コノエビル3階,06-6764-8818,,,1,月・火・木・金,9:30～12:00,,1,1,,16歳,135.5178822,34.66842375,https://yamaguchi-uro.jp/,,1,,,
医療法人日新会　日新会病院,大阪市西区新町4-4-8,06-6531-3038,,,1,月～金,9:00～17:00,18歳(高校卒業)以上の方,1,1,,,135.487203,34.67599991,https://nisshinkai.jp/https://nisshinkai.jp/shin/index.html,,1,,,
医療法人恵生会　恵生会アプローズタワークリニック,大阪市北区茶屋町19-19　阪急茶屋町ビルディング7階,,1,,,,,,,1,,12歳,135.4978259,34.7083078,https://www.keiseikai.or.jp/applause/,,1,,,
医療法人愛幸会　くまだ内科・小児科クリニック,大阪市福島区玉川4-6-11,06-6446-6006,1,,1,,,,,1,1,12歳,135.4777429,34.69018637,http://www.aikou-group.com/,,1,,,
医療法人涼庵会　整形外科吉田クリニック,大阪市阿倍野区阪南町2-20-16,06-6627-5511,,,1,,9:20～13:00　15:20～18:00,火・土　午後休診,1,,1,12歳,135.5153248,34.63165049,https://ryoankaiyoshidaclinic.com/,,1,,,
医療法人柏木会　柏木クリニック,大阪市平野区加美南5-6-7,06-6793-2772,,,1,,,,1,1,,16歳,135.571873,34.61978791,,,1,,,
上田内科・循環器内科医院,大阪市福島区鷺洲2-12-18　フェリーチェ福島北,06-6453-8567,,1,1,①月～金 ②土,①11:00～12:00 17:00～18:00 ②11:00～12:00,,,1,,,135.4811253,34.69854496,https://www.ueda-clinic.biz/,,1,,,
原医院,大阪市都島区都島本通3-1-5,06-6921-0862,,,1,①月・火・水・金 ②土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,,1,1,12歳,135.5263608,34.7065127,https://miyakojimakuishikai.jp/search/hospital-57,,1,,,
医療法人　ひらい医院,大阪市西成区橘3-4-6,06-6661-3789,,,1,,,,,1,,,135.4898918,34.63794696,https://nishinari-med.or.jp/search/doc_info/area04_10.htm,,1,,,
かねみつクリニック,大阪市城東区今福東3-5-6　メディカルモール今福2階,070-8414-5729,1,1,1,①月～金　②土,①9:00～19:00　②9:00～15:00,Web予約はメールにて　kane32.clinic@gmail.com,1,1,1,12歳,135.5561491,34.70485145,https://kanemitsu-clinic.jp/,,1,1,,
医療法人正和会　協和病院,大阪市都島区東野田町五丁目2番25号,,,1,,,,,,1,,,135.5340285,34.69893565,http://meiseigrp.jp/kyouwa.html,,1,,,
やだクリニック,大阪市西区新町4丁目6番23号阪急オアシス新町店2階,06-6541-6222,,,1,①月・火・水・金 ②木・土,①9:00～12:30 16:00～18:30 ②9:00～12:30,かかりつけ患者およびその家族,,1,,16歳,135.4866928,34.67730467,https://yada-clinic.net/,,1,,,
医療法人　さいとう消化器内科クリニック,大阪市天王寺区堂ヶ芝二丁目13番2号エミネンス堂ヶ芝1階,,1,,,,,,,1,,,135.5266262,34.65877988,https://www.naishikyo-saito.com/,,1,,,
らいふ内科・乳腺クリニック,大阪市西区九条1丁目14-29　2階,06-6582-0007,,,1,,受付時間内,,,1,1,12歳,135.4751835,34.67505358,https://lifecl7.com/,,1,,,
よどがわ保健生活協同組合　淡路診療所,大阪市東淀川区西淡路五丁目11番11号,06-6322-5211,,,1,月～金,14:00～16:00,,,1,,,135.5133873,34.7435697,http://www.yodogawa-health.jp/original5.html,,1,,03予約可能,
医療法人　溝口医院,大阪市西成区南津守7-5-7メゾン赤松1階1-A号室,06-6656-5269,,1,1,,,,1,1,,12歳,135.4854593,34.62401754,https://nishinari-med.or.jp/search/doc_info/area07_08.htm,,1,,,
医療法人つばさ会　つばさクリニック,大阪市西成区玉出西二丁目14番18号,06-6653-6611,,1,1,月～土,9:00～17:00,来院での予約可,1,,,12歳,135.4881188,34.62612884,,,1,,,
城東医院,大阪市城東区関目三丁目7番20号,06-6931-3749,,1,1,月～土,9:00～12:00,,,1,,,135.5485042,34.7112029,http://www.jotoishikai.or.jp/a063/,,1,,,
医療法人美櫻会　平本眼科クリニック,大阪市平野区加美東一丁目13番43号,06-6796-7073,,,1,月・水・金,11:30～12:30,,,1,,,135.5667617,34.63019094,https://hiramoto-eye-clinic.com/,,1,,,
馬場耳鼻咽喉科,大阪市住之江区新北島三丁目8番54号シキツビル2階,06-6686-3387,,1,1,,診療時間内,,,1,,16歳,135.4673497,34.60676985,https://baba-jibika.jp/,,1,,,
任クリニック,大阪市中央区玉造二丁目16番8号井上ビル5階,06-6768-6412,,,1,月・火・水・金・土,9:30～12:00,,,1,1,16歳,135.5289338,34.67483042,,,1,,,
医療法人実有会　小松クリニック,大阪市住之江区南港北一丁目17番19号303、304,06-4703-0257,,,1,①月～金 ②土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,1,1,1,12歳,135.4152147,34.6407176,http://www.zitsuyu.com/,,1,1,,
天神橋クリニック,大阪市北区天神橋6-7-10　GAZELLE RIO.6 3F,06-6353-7301,,,1,,,,1,,1,12歳,135.5109141,34.71027434,https://tenjinbashi-clinic.com/,,1,,,
ONE CLINIC 梅田,大阪市北区堂山町18-2　若杉東梅田ビル5階,080-4239-3347,,,1,,,,1,,1,12歳,135.5023486,34.70472358,https://diamonds-and-waters.com/msclinic/home.html,火曜日と木曜日は接種を行なっておりません,1,,03予約可能,
医療法人義方会　大津病院,大阪市此花区酉島2-1-15,06-6463-5151,,1,1,,,,,1,,,135.4455168,34.68582822,https://www.otsu-hp.com/,,1,,,
医療法人　島田内科,大阪市東住吉区矢田4-10-17,,,1,,,診療時間内,,,1,,,135.5316476,34.60306016,,,1,,,
医療法人慈心会　あびこ病院,大阪市住吉区我孫子3-3-20,,1,,,,,,,1,,,135.5094535,34.60055166,http://jishin-kai.or.jp/abiko/,,1,,,
レディース＆ＡＲＴ　クリニック　サンタクルス　ザ　ウメダ,大阪市北区茶屋町8-26　NU茶屋町プラス3階,06-6374-1188,1,,1,平日,13:00～19:00,,1,,1,,135.499878,34.70734628,https://umeda.santacruz.or.jp/,接種券がお手元に届いている方のみです,1,,03予約可能,
医療法人慈美会　わだ耳鼻咽喉科,大阪市淀川区西三国2-2-27　三木ビル1・2階,06-6397-8733,,1,1,,10:00～12:00 15:30～17:00,,,1,,16歳,135.4885407,34.73879389,,,1,,,
医療法人社団創生会　クリニックそうせい,大阪市東住吉区矢田3-7-10,090-1588-2999,,,1,,,予約専用電話番号　090-1588-2999,,1,,16歳,135.5288536,34.60551647,,,1,,,
まさこレディースクリニック,大阪市福島区玉川4-3-20,06-6459-5277,,,1,土曜日を除く診療日,9:00～9:30,,,1,1,16歳,135.4787379,34.6884751,http://www.masako-ladies.jp/,,1,,,
医療法人希望の森　成長発達クリニック,大阪市中央区森之宮中央1-1-30　ビエラ森之宮3階,06-4790-8655,,,1,月～金,12:00～15:00,,1,1,1,12歳,135.5344712,34.68013943,https://kibounomori-clinic.com/,,1,,,
医療法人　吉田クリニック,大阪市東淀川区下新庄1-11-8,06-6320-4976,,,1,月～金,9:30～11:30,,,1,,16歳,135.519184,34.74470044,,,1,,,
しみずクリニック,大阪市中央区千日前1丁目虹のまち5-3,06-6211-4320,,1,1,月～金,9:50～10:50,来院予約は診療時間内のみ受付,1,1,1,,135.503583,34.666917,https://clinic-shimizu.net/,,1,,03予約可能,
医療法人崇孝会　長堀分院,大阪市中央区島之内1-21-24　ファーストKビル,06-6252-6750,,,1,月～金,10:00～16:00,,,1,,16歳,135.506432,34.67343603,https://www.sukokai.com/,,1,,,
医療法人　津本クリニック,大阪市東淀川区豊里6-21-9,06-6327-2241,,,1,月・火・木・金,10:30～11:30,かかりつけ患者のみ受診、来院時に予約,,1,,12歳,135.5397402,34.74247596,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=72,,1,,,
社会医療法人三宝会　南港クリニック,大阪市住之江区北加賀屋2-11-8　北加賀屋千島ビル101号,080-4166-2013,,1,1,①月～金 ②土,①9:00～19:00 ②9:00～13:00,,1,1,1,12歳,135.4773755,34.62130426,https://clinic.nanko-hp.com/,,1,,,
医療法人裕生会　裕生会クリニック,大阪市天王寺区悲田院町10-39　天王寺ミオPKビル2階,06-6770-1310,,,1,月～土,9:00～17:00,かかりつけ患者の親族、同居人受入可,,1,,16歳,135.5140512,34.64667763,http://yuseikai.info/,,1,,,
医療法人政明会　春次医院,大阪市中央区博労町2-6-1,06-6245-1251,,,1,月～金,9:30～12:00,,1,1,1,12歳,135.5038325,34.67817051,https://www.harutsuguiin.com/,,1,,,
アサイクリニック,大阪市中央区心斎橋筋2-3-24ジャパンライフビル3階,,,,,,,,1,1,1,12歳,135.5013677,34.66995798,http://www.asai-clinic.com/,,1,,,
あわざこどもクリニック,大阪市西区西本町3-1-1　岡崎橋セントラルビル2階,06-6606-9357,1,,1,,,,,1,,12歳,135.4891747,34.68222959,https://www.awaza-kc.jp/,,1,,,
権藤診療所,大阪市住吉区山之内2-8-14,06-6692-3290,,1,,,,,,1,1,12歳,135.5015295,34.5962038,https://www.gondou-clinic.com/,,1,,,
医療法人渡辺医学会　桜橋渡辺病院,大阪市北区梅田2-4-32,06-6341-8655,,,1,,,入院患者のみ。外来患者の受付は不可,,1,,,135.4947703,34.69908122,http://www.watanabe-hsp.or.jp/,,1,,,
医療法人錦秀会　阪和住吉総合病院,大阪市住吉区南住吉3丁目2-9,06-6692-1001,,1,,,,,,1,,,135.5055286,34.60517259,http://kinshukai.or.jp/sumiyoshi/,,1,,,
医療法人正啓会　西下胃腸病院,大阪市天王寺区北河堀町4番15号,06-6771-2450,,,1,月～土,9:00～17:00,,1,1,1,12歳,135.5169776,34.64854314,https://www.seikeikai-nishishita-hp.com/,,1,,,
医療法人伯鳳会　大阪中央病院,大阪市北区梅田3-3-30,,,,,月・水・金,14:00～16:00,,,1,,,135.4909581,34.6988328,http://www.osaka-centralhp.jp/,,1,,01予約不可能,
一般社団法人　住友病院,大阪市北区中之島5-3-20,,1,,,,,医療従事者のみ12月から受入開始,,1,,,135.4874014,34.68868735,https://www.sumitomo-hp.or.jp/,,1,,,
一般社団法人　津守病院,大阪市西成区津守3-5-18,06-6659-6651,,1,1,平日,9:00～17:00,,,1,,,135.4826664,34.64087688,https://tsumori-hp.jimdofree.com/,,1,,,
越宗整形外科病院,大阪市住吉区東粉浜3-26-6,06-6672-2251,,,1,①月・火・木・金 ②水,①9:00～12:00 14:00～18:00 ②9:00～12:00,土日祝は対応不可,,1,,12歳,135.4918679,34.61544379,http://www.koshimune.jp/hospital,,1,,,
吉川病院,大阪市西区九条南3-29-14,06-6583-4114,,,1,月～金,9:00～17:00,,,1,,,135.4686106,34.67317589,,,1,,,
周防町アサイクリニック,大阪市中央区東心斎橋2-5-31　月虎ビル51番館1階,,,,,,,予約はLINEのみ,1,,,12歳,135.5040464,34.67187828,https://asai.clinic/suoumachi/,,1,,,
公益財団法人大阪労働衛生センター第一病院,大阪市西淀川区御幣島6-2-2,06-6474-1204,,,1,平日,9:00～13:00,,,1,,,135.4547939,34.71884467,http://www.osaka-daiichi-hosp.org/,,1,,,
社会医療法人景岳会　南大阪病院,大阪市住之江区東加賀屋一丁目18番18号,,,1,,,,,,1,,,135.4829879,34.61910256,http://www.minamiosaka.com/,,1,,,
社会福祉法人恩賜財団済生会支部大阪府済生会中津病院,大阪市北区芝田2丁目10番39号,,,1,,,現在検討中,,,1,1,12歳,135.4967091,34.70849242,https://www.nakatsu.saiseikai.or.jp/,,1,,,
大阪歯科大学附属病院,大阪市中央区大手前1-5-17,,,1,,月～金,15:00～16:00,問合せは：06-6910-1078へ,,1,,,135.5193345,34.69005184,https://www.osaka-dent.ac.jp/hospital/,,1,,,
大阪整形外科病院,大阪市福島区大開4-3-61,06-6463-1111,,,1,月～金,14:00～16:00,,,1,1,12歳,135.465217,34.68729259,https://nih.or.jp/,,1,,,
地方独立行政法人大阪市民病院機構大阪市立十三市民病院,大阪市淀川区野中北2-12-27,06-6150-8000,,,1,月～金,9:00～16:00,,1,1,1,12歳,135.4771891,34.72866651,https://www.osakacity-hp.or.jp/juso/,『医療従事者』を対象としています。,1,,03予約可能,
医療法人　渡部診療所,大阪市住吉区帝塚山西1-12-20,06-6672-4116,,1,1,①月・火・木・金 ②水・土,①9:00～12:00 16:30～19:00 ②9:00～12:00,,,1,1,12歳,135.4958503,34.62273049,https://www.watanabe-shinryojyo.com/,,1,,,
医療法人　越田クリニック,大阪市北区角田町1-12,06-6316-6090,,,1,火,15:00～17:00,,,1,,,135.5010121,34.70452217,https://www.koshida-cl.or.jp/,,1,,,
医療法人　丹生医院,大阪市西区本田3-7-8,,1,,,,,,1,1,1,12歳,135.4738491,34.67741767,https://www.nibu-ent.com/,,1,,,
にしみねクリニック,大阪市天王寺区上汐6-2-1,06-6796-8090,,,1,月～金,13:45～14:00,かかりつけ患者および1、2回目を当院で接種した方,,1,,12歳,135.5156226,34.65901602,http://nishimine.info/,,1,,02若干空き有り,
医療法人徹生会　村上内科,大阪市此花区四貫島1-1-43,080-2158-7808,,,1,①月・火・水・金 ②木・土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,1,1,,,135.4585344,34.68543486,https://www.murakaminaika-konohana.com/,,1,,,
医療法人　谷口クリニック,大阪市天王寺区堂ケ芝2-13-20 堂ヶ芝ビル,06-6776-5580,,,1,①月・金 ②火・木・土 ③水,①9:30～12:30 14:30～17:00 ②9:30～12:30 ③9:30～12:30 17:30～20:00,,1,1,1,12歳,135.525927,34.65900638,https://taniguchi-c.jp/,,1,,,
心斎橋美容外科,大阪市中央区南船場3-10-28　4階,06-6245-5537,1,,1,火・金,15:00～18:00,info@shinsaibashi-biyou.jp,1,1,1,12歳,135.5011557,34.67754952,https://www.shinsaibashi-biyou.jp/,,1,,,
Doctor's Fitness 診療所,大阪市東淀川区東中島1-21-31-205,06-6379-3435,1,,1,,,公式LINEアカウントから予約可,1,1,1,12歳,135.5043229,34.73319011,https://doctors-fitness.jp/staff/,かかりつけ以外も対応可能,1,1,03予約可能,03予約可能
医療法人晴恵会　安田クリニック,大阪市此花区伝法2-5-1,06-6463-1000,,1,1,①月・火・水・金 ②木・土,①8:30～12:30 16:30～19:00 ②8:30～12:30,,1,1,1,12歳,135.4569628,34.68859526,http://www.watanabe-hsp.or.jp/concerned/dr/yasuda,,1,1,03予約可能,03予約可能
トヨタクリニック,大阪市中央区備後町2-1-1　第2野村ビルB1階,06-6232-1187,,,1,,,,1,,1,12歳,135.5063798,34.68528925,https://www.yubaclinic.com/,,1,,,
医療法人有光会　サトウ病院,大阪市城東区東中浜1-2-23,06-6961-3191,,,1,月～金,13:00～15:00,,1,1,1,12歳,135.5456346,34.68740847,https://sato-hos.or.jp/,,1,,,
うつぼ本町キッズクリニック,大阪市西区西本町2-1-4　宇佐美西本町ビル1階,06-6616-9727,1,1,1,①月～金 ②土,①9:00～11:30 13:30～18:00 ②9:00～11:30,かかりつけの親族は受入可,,1,1,12歳,135.4927332,34.68276253,https://www.utsubo-kids.jp/,,1,,,
さくらいクリニック,大阪市平野区瓜破西1-8-48,,,1,,,,,,1,1,12歳,135.548828,34.60677592,,,1,,,
リブ再生クリニック,大阪市北区神山町1番7号　アーバネックスビル神山町ビル3階3C,06-6131-3003,,,1,火・水・金・土,10:00～19:00,,1,1,1,12歳,135.5071182,34.70254855,https://reve-clinic.com/,,1,,03予約可能,
医療法人吉田会　ヨシダ外科,大阪市平野区西脇4-1-55,06-6702-5563,,,1,①月・土 ②火・木・金,①8:30～12:30 ②8:30～12:30 16:30～19:00,,,1,,,135.5467366,34.62818463,https://www.yoshidakai.co/,,1,,,
医療法人健生会　たつえクリニック　整形外科・リハビリテーション科,大阪市淀川区木川東2-2-2　シャインビュー新大阪1階,06-4400-2360,,,1,火・木,10:00～12:00,,,1,,,135.4936488,34.72428262,http://tatsue-clinic.com/,,1,,,
医療法人幸萌会　森内科クリニック,大阪市住之江区中加賀屋3-11-11,,,1,,①月・火・水・金 ②土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,,1,,12歳,135.4795918,34.6165171,http://morinaika.byoinnavi.jp/pc/,,1,,,
医療法人春芳会　しあわせクリニック,大阪市生野区生野西2-5-14　寺田町田中ビル1階,06-6711-2525,,,1,,,かかりつけ患者のみ電話で受け付けます。,,1,,,135.5255978,34.64762964,https://website2.infomity.net/8030000277/,,1,,,
医療法人寛友会　菊守耳鼻咽喉科,大阪市此花区四貫島1-9-10 セントラルプラザ2階,06-6462-8711,,1,1,①月・火・水・金 ②木 ③土,①8:30～12:30　15:00～19:00 ②8:30～12:30 16:00～20:00 ③8:30～13:30,,1,1,1,12歳,135.4566506,34.68464661,http://www.kikumorijibika.com/,,1,1,03予約可能,
医療法人誠昌会　えさきクリニック,大阪市港区夕凪2-16-9　ポートビル1階,06-6599-0115,,,1,,,,1,1,1,12歳,135.4514476,34.6609783,https://esakiclinic.net/,,1,,,
医療法人味木会　味木クリニック,大阪市生野区中川6-9-23,06-6753-1523,,,1,,,,,1,,16歳,135.5413291,34.65415711,,,1,,,
花谷心療内科クリニック,大阪市西区江戸堀1-13-2　日本ライトハウスビル11階,06-6147-2003,,1,1,①月・火・木 ②水,①10:00～12:00 17:00～19:00 ②10:00～12:00,,,1,,12歳,135.4960883,34.69202479,http://hanatani-cl.com/,,1,,,
上山クリニック,大阪市東住吉区矢田2-5-6　グランドフォーム細田1階,06-6698-1302,,,1,①月・火・水 ②木,①9:00～12:00 16:00～19:00 ②9:00～17:00,,1,1,,,135.5307391,34.60722254,http://www.ueyama-clinic.jp/,,1,,,
生活協同組合ヘルスコープおおさか　蒲生厚生診療所,大阪市城東区蒲生3-15-12,06-6931-3807,,,1,月～金,12:00～14:00,,,1,,,135.5433984,34.699937,https://gamoshin.net/,,1,,,
大阪ヘルスケアクリニック,大阪市北区本庄東1-22-1,06-6372-8639,,,1,月・火・木・金・日,10:00～19:00,接種日は木・日の夕方,1,1,1,12歳,135.5077057,34.71049567,https://osaka-healthcare.com/,水曜・土曜休診　日曜夕方・木曜夕方実施,1,,02若干空き有り,
しんちクリニック,大阪市北区堂島1-2-2　日昭ビル2階,06-6344-5800,,,1,月～金,14:00～18:00,,1,,1,12歳,135.4996161,34.69601468,,,1,,,
やましたこころのクリニック,大阪市城東区今福東1-12-3　TYビル3階302号,,1,,,,,,1,,,16歳,135.5582245,34.69983164,https://yamashita-kokoro.com/,,1,,03予約可能,
大阪掖済会病院,大阪市西区本田二丁目1番10号,,,1,,,,通院患者のみ　予約開始は病院HP参照,,1,,12歳,135.4796436,34.67840376,https://osaka-ekisaikai.jp/,,1,,01予約不可能,
あびこ駅前つじもと整形外科医院,大阪市住吉区我孫子東2-7-38　クリニックステーションあびこ2階,06-6692-0221,,,1,月・水・金,9:00～13:00,,1,1,1,12歳,135.5124143,34.59956016,https://tsujimoto.clinic/,,1,,,
いきいきクリニック,大阪市北区菅原町10-32　DAIX西天満3階,06-6360-6588,,,1,月～土　,9:00～19:00,,,1,,16歳,135.5113485,34.69366118,http://clinic-ikiiki.com/,,1,,,
おおた内科クリニック,大阪市住之江区御崎2-1-1,06-6686-8225,,1,1,月・火・木・金,16:00～17:30,,1,,,16歳,135.4807894,34.61303742,https://www.ota-naika.jp/,,1,,,
かわばたレディスクリニック,大阪市淀川区十三東2-5-15　アーリーアーク1階,06-6308-7660,,,1,月・火・木・金,16:30～19:00,,1,,1,12歳,135.4850182,34.72053084,http://www4.plala.or.jp/kwbtlc/,,1,,,
こたけクリニック,大阪市西淀川区柏里2-3-20　大西ビル201号,06-4808-5518,,1,,,,予約は診察時間内,,1,,16歳,135.4682214,34.71188357,,,1,,,
